"","x"
"1","프로포즈"
"2","선물"
"3","것"
"4","프로포즈"
"5","선물"
"6","것"
"7","2011."
"8","10."
"9","09"
"10","친구"
"11","저"
"12","프로포즈"
"13","선물"
"14","뭘로"
"15","물어보는거예요"
"16","생각"
"17","저"
"18","정식"
"19","적"
"20","평생"
"21","한번뿐인일(그래야겠죠"
"22","나중"
"23","서운"
"24","쇼핑"
"25","쇼핑"
"26","몰"
"27","시장"
"28","답변"
"29","수"
"30","2"
"31","추천"
"32","수"
"33","10"
"34","조회"
"35","수"
"36","1632"
"37","4"
"38",""
"39","프로포즈"
"40","선물"
"41","좋"
"42","은"
"43","프로포즈"
"44","선물"
"45","것"
"46","좀"
"47","2013."
"48","08."
"49","13"
"50","프로포즈"
"51","선물"
"52","찾기보단"
"53","사람"
"54","영화관"
"55","꽃전달하면서"
"56","고백"
"57","것"
"58","영화"
"59","크레딧(?"
"60","때"
"61","대형화면"
"62","영상"
"63","편지"
"64","순간"
"65","어디"
"66","준비"
"67","남자"
"68","분"
"69","생활"
"70","답변"
"71","수"
"72","1"
"73","추천"
"74","수"
"75","10"
"76","조회"
"77","수"
"78","345"
"79","1"
"80",""
"81","에정입니다"
"82","프로"
"83","포"
"84","즈"
"85","에정입니다"
"86","프로포즈"
"87","선물"
"88","꽃다발"
"89","2011."
"90","09."
"91","28"
"92","다음달"
"93","프로포즈"
"94","이벤트"
"95","준비"
"96","서울에서는"
"97","프로포즈"
"98","유명"
"99","카페"
"100","프로포즈"
"101","이벤트"
"102","예정"
"103","프로포즈"
"104","선물"
"105","반지"
"106","명색"
"107","프로포즈"
"108","데"
"109","프로포즈"
"110","반지"
"111","10"
"112","만"
"113","원"
"114","살"
"115","수"
"116","생활"
"117","가족"
"118","가족"
"119","행사"
"120","이벤트"
"121","답변"
"122","수"
"123","1"
"124","추천"
"125","수"
"126","10"
"127","조회"
"128","수"
"129","1194"
"130","9"
"131",""
"132","프로포즈"
"133","선물"
"134","질문"
"135","입"
"136","프로포즈"
"137","선물"
"138","질문"
"139","2010."
"140","06."
"141","10"
"142","프로포즈"
"143","선물"
"144","주인공"
"145","중요"
"146","한날"
"147","선물"
"148","의미"
"149","빛"
"150","안나자나요~"
"151","이럴때"
"152","이벤트"
"153","의미"
"154","빛"
"155","날거에요~"
"156","카페"
"157","사회"
"158","정치"
"159","사회"
"160","문화"
"161","사람"
"162","그룹"
"163","답변"
"164","수"
"165","4"
"166","추천"
"167","수"
"168","3"
"169","조회"
"170","수"
"171","912"
"172","4"
"173",""
"174","프로포즈"
"175","선물"
"176","골"
"177","라"
"178","프로포즈"
"179","선물"
"180","2009."
"181","03."
"182","06"
"183","프로포즈"
"184","장소"
"185","프로포즈"
"186","선물"
"187","물색인데요."
"188","한"
"189","번"
"190","프로포즈"
"191","장소"
"192","프로포즈"
"193","선물"
"194","조언"
"195","후"
"196","준비"
"197","나"
"198","것"
"199","생각"
"200","프로포즈"
"201","장소"
"202","서울근교"
"203","쪽"
"204","중"
"205","쇼핑"
"206","답변"
"207","수"
"208","1"
"209","추천"
"210","수"
"211","2"
"212","조회"
"213","수"
"214","739"
"215","6"
"216","결혼"
"217","프로포즈"
"218","선물"
"219","2009."
"220","03."
"221","12"
"222","결혼"
"223","프로포즈"
"224","준비"
"225","중인"
"226","30대중반"
"227","남자"
"228","문의"
"229","해보긴"
"230","답"
"231","못구해서"
"232","글"
"233","결혼"
"234","프로포즈"
"235","선물"
"236","반지"
"237","구입"
"238","것"
"239","반지"
"240","것"
"241","쇼핑"
"242","답변"
"243","수"
"244","1"
"245","추천"
"246","수"
"247","0"
"248","조회"
"249","수"
"250","928"
"251","5"
"252","잇는애에게"
"253","정식"
"254","프로포즈"
"255","법"
"256","5"
"257","전"
"258","질문1,3만원"
"259","이하"
"260","프로포즈"
"261","선물"
"262","질문2,그"
"263","애"
"264","법좀"
"265","위"
"266","2질문에"
"267","답"
"268","참고"
"269","저"
"270","초5에요"
"271","내공"
"272","50"
"273","프로포즈"
"274","간단"
"275","다이"
"276","소"
"277","촛불"
"278","것"
"279","조금"
"280","컴퓨터통신"
"281","답변"
"282","수"
"283","1"
"284","추천"
"285","수"
"286","0"
"287","조회"
"288","수"
"289","4"
"290","4"
"291","결혼"
"292","때"
"293","프로포즈"
"294","선물"
"295","시계"
"296","초인"
"297","답변"
"298","2010."
"299","08."
"300","13"
"301","시계를생각하고있는데"
"302","여자"
"303","들이"
"304","만"
