성별,나이,직장여부,결혼여부,차량보유여부,쿠폰반응여부
남,30대,NO,YES,NO,NO
여,20대,YES,YES,YES,NO
여,20대,YES,YES,NO,NO
여,40대,NO,NO,NO,NO
여,30대,NO,YES,NO,NO
여,30대,NO,NO,YES,NO
여,20대,NO,YES,NO,NO
여,20대,NO,YES,YES,YES
여,30대,YES,YES,NO,YES
남,40대,YES,NO,YES,NO
남,20대,NO,NO,NO,NO
남,30대,NO,YES,YES,NO
남,20대,YES,NO,NO,NO
여,30대,YES,YES,NO,YES
남,30대,YES,YES,YES,YES
여,30대,YES,NO,NO,NO
여,30대,NO,YES,YES,YES
남,20대,YES,YES,NO,NO
남,40대,YES,NO,YES,NO
여,40대,YES,YES,NO,YES
여,20대,NO,YES,YES,YES
남,30대,NO,NO,NO,NO
여,30대,YES,YES,NO,YES
남,30대,YES,NO,YES,NO
여,40대,NO,YES,YES,YES
남,30대,NO,YES,NO,NO
여,30대,YES,YES,YES,YES
여,40대,YES,NO,YES,NO
남,40대,YES,YES,NO,YES
여,40대,YES,YES,NO,YES
