기간,자치구,세대,계,남자,여자
2015.1/4,합계,"4,202,812","10,369,067","5,106,034","5,263,033"
2015.1/4,종로구,"73,218","165,240","81,256","83,984"
2015.1/4,중구,"60,043","136,063","67,858","68,205"
2015.1/4,용산구,"108,506","250,003","122,096","127,907"
2015.1/4,성동구,"126,021","303,777","151,003","152,774"
2015.1/4,광진구,"159,056","377,204","184,750","192,454"
2015.1/4,동대문구,"160,384","376,329","187,486","188,843"
2015.1/4,중랑구,"176,862","422,825","210,811","212,014"
2015.1/4,성북구,"193,560","475,900","232,809","243,091"
2015.1/4,강북구,"141,463","337,996","166,245","171,751"
2015.1/4,도봉구,"137,094","355,282","174,971","180,311"
2015.1/4,노원구,"220,895","584,630","285,023","299,607"
2015.1/4,은평구,"202,819","504,165","246,293","257,872"
2015.1/4,서대문구,"134,583","319,938","154,723","165,215"
2015.1/4,마포구,"171,028","398,649","191,897","206,752"
2015.1/4,양천구,"179,389","490,745","243,126","247,619"
2015.1/4,강서구,"235,697","593,703","290,542","303,161"
2015.1/4,구로구,"173,040","457,390","230,061","227,329"
2015.1/4,금천구,"104,267","258,099","132,475","125,624"
2015.1/4,영등포구,"168,706","421,871","212,467","209,404"
2015.1/4,동작구,"172,798","419,460","205,978","213,482"
2015.1/4,관악구,"249,748","533,109","269,144","263,965"
2015.1/4,서초구,"173,259","453,564","218,520","235,044"
2015.1/4,강남구,"237,996","583,699","280,195","303,504"
2015.1/4,송파구,"257,643","672,371","328,531","343,840"
2015.1/4,강동구,"184,737","477,055","237,774","239,281"
2015.2/4,합계,"4,197,478","10,349,492","5,094,448","5,255,044"
2015.2/4,종로구,"72,882","164,291","80,814","83,477"
2015.2/4,중구,"59,614","135,200","67,337","67,863"
2015.2/4,용산구,"108,138","249,517","121,891","127,626"
2015.2/4,성동구,"126,915","305,969","152,053","153,916"
2015.2/4,광진구,"158,769","376,620","184,434","192,186"
2015.2/4,동대문구,"160,110","375,254","186,842","188,412"
2015.2/4,중랑구,"177,077","422,597","210,523","212,074"
2015.2/4,성북구,"192,670","473,642","231,590","242,052"
2015.2/4,강북구,"141,325","336,981","165,671","171,310"
2015.2/4,도봉구,"137,260","355,256","174,842","180,414"
2015.2/4,노원구,"220,403","582,799","284,084","298,715"
2015.2/4,은평구,"203,159","504,055","246,172","257,883"
2015.2/4,서대문구,"134,004","318,206","153,954","164,252"
2015.2/4,마포구,"171,691","400,367","192,438","207,929"
2015.2/4,양천구,"179,315","490,276","242,911","247,365"
2015.2/4,강서구,"236,939","595,148","291,037","304,111"
2015.2/4,구로구,"172,797","457,560","230,026","227,534"
2015.2/4,금천구,"104,331","258,462","132,704","125,758"
2015.2/4,영등포구,"168,314","421,351","212,161","209,190"
2015.2/4,동작구,"172,464","418,520","205,312","213,208"
2015.2/4,관악구,"249,481","531,912","268,513","263,399"
2015.2/4,서초구,"172,770","451,697","217,490","234,207"
2015.2/4,강남구,"237,198","581,256","278,933","302,323"
2015.2/4,송파구,"257,528","671,984","328,282","343,702"
2015.2/4,강동구,"182,324","470,572","234,434","236,138"
2015.3/4,합계,"4,195,438","10,331,847","5,083,068","5,248,779"
2015.3/4,종로구,"72,878","164,499","80,796","83,703"
2015.3/4,중구,"59,452","134,828","67,043","67,785"
2015.3/4,용산구,"107,827","248,859","121,475","127,384"
2015.3/4,성동구,"127,047","306,384","152,132","154,252"
2015.3/4,광진구,"158,544","375,951","183,927","192,024"
2015.3/4,동대문구,"160,079","374,823","186,466","188,357"
2015.3/4,중랑구,"176,441","420,151","209,204","210,947"
2015.3/4,성북구,"191,987","472,309","230,727","241,582"
2015.3/4,강북구,"141,291","335,853","165,058","170,795"
2015.3/4,도봉구,"137,203","354,454","174,421","180,033"
2015.3/4,노원구,"220,243","581,088","283,034","298,054"
2015.3/4,은평구,"203,609","504,345","246,025","258,320"
2015.3/4,서대문구,"133,828","317,983","153,651","164,332"
2015.3/4,마포구,"171,759","400,596","192,299","208,297"
2015.3/4,양천구,"179,640","489,788","242,540","247,248"
2015.3/4,강서구,"238,366","596,319","291,675","304,644"
2015.3/4,구로구,"172,448","456,547","229,391","227,156"
2015.3/4,금천구,"104,148","257,954","132,366","125,588"
2015.3/4,영등포구,"168,104","420,449","211,704","208,745"
2015.3/4,동작구,"171,377","415,598","203,736","211,862"
2015.3/4,관악구,"249,449","531,145","268,013","263,132"
2015.3/4,서초구,"173,335","452,488","217,786","234,702"
2015.3/4,강남구,"237,659","582,109","279,485","302,624"
2015.3/4,송파구,"257,395","670,489","327,589","342,900"
2015.3/4,강동구,"181,329","466,838","232,525","234,313"
2015.4/4,합계,"4,189,948","10,297,138","5,063,550","5,233,588"
2015.4/4,종로구,"72,645","163,822","80,531","83,291"
2015.4/4,중구,"59,321","134,329","66,755","67,574"
2015.4/4,용산구,"107,512","247,909","121,027","126,882"
2015.4/4,성동구,"126,714","305,065","151,459","153,606"
2015.4/4,광진구,"158,353","375,180","183,436","191,744"
2015.4/4,동대문구,"159,941","373,824","185,827","187,997"
2015.4/4,중랑구,"176,390","418,620","208,393","210,227"
2015.4/4,성북구,"190,973","469,560","229,183","240,377"
2015.4/4,강북구,"141,088","334,426","164,337","170,089"
2015.4/4,도봉구,"136,903","353,241","173,804","179,437"
2015.4/4,노원구,"219,768","578,221","281,538","296,683"
2015.4/4,은평구,"203,410","502,578","244,964","257,614"
2015.4/4,서대문구,"135,770","323,105","156,130","166,975"
2015.4/4,마포구,"171,480","398,351","190,957","207,394"
2015.4/4,양천구,"179,512","489,010","242,074","246,936"
2015.4/4,강서구,"238,952","595,691","291,216","304,475"
2015.4/4,구로구,"172,321","454,604","228,201","226,403"
2015.4/4,금천구,"103,847","256,167","131,346","124,821"
2015.4/4,영등포구,"167,863","417,811","210,388","207,423"
2015.4/4,동작구,"170,495","412,774","202,165","210,609"
2015.4/4,관악구,"249,191","529,031","266,773","262,258"
2015.4/4,서초구,"173,007","451,258","217,036","234,222"
2015.4/4,강남구,"237,373","581,760","279,209","302,551"
2015.4/4,송파구,"256,611","667,480","325,950","341,530"
2015.4/4,강동구,"180,508","463,321","230,851","232,470"
2016.1/4,합계,"4,194,485","10,282,821","5,053,675","5,229,146"
2016.1/4,종로구,"73,146","163,993","80,548","83,445"
2016.1/4,중구,"59,339","134,436","66,747","67,689"
2016.1/4,용산구,"107,342","247,297","120,607","126,690"
2016.1/4,성동구,"126,666","304,565","151,019","153,546"
2016.1/4,광진구,"158,593","374,798","182,951","191,847"
2016.1/4,동대문구,"160,378","373,657","185,627","188,030"
2016.1/4,중랑구,"176,721","418,341","208,235","210,106"
2016.1/4,성북구,"190,957","468,699","228,530","240,169"
2016.1/4,강북구,"141,053","333,615","163,819","169,796"
2016.1/4,도봉구,"136,687","352,521","173,342","179,179"
2016.1/4,노원구,"220,588","577,805","281,431","296,374"
2016.1/4,은평구,"203,140","501,242","244,103","257,139"
2016.1/4,서대문구,"137,303","326,746","157,763","168,983"
2016.1/4,마포구,"171,489","397,575","190,413","207,162"
2016.1/4,양천구,"179,008","487,368","241,190","246,178"
2016.1/4,강서구,"240,337","597,473","291,883","305,590"
2016.1/4,구로구,"172,837","454,252","227,913","226,339"
2016.1/4,금천구,"103,988","255,274","130,794","124,480"
2016.1/4,영등포구,"168,222","417,209","209,941","207,268"
2016.1/4,동작구,"171,466","413,282","202,397","210,885"
2016.1/4,관악구,"251,124","530,072","267,390","262,682"
2016.1/4,서초구,"172,636","450,085","216,403","233,682"
2016.1/4,강남구,"236,280","578,862","277,575","301,287"
2016.1/4,송파구,"255,601","663,904","324,076","339,828"
2016.1/4,강동구,"179,584","459,750","228,978","230,772"
2016.2/4,합계,"4,193,712","10,260,972","5,040,526","5,220,446"
2016.2/4,종로구,"72,820","163,235","80,127","83,108"
2016.2/4,중구,"59,315","134,175","66,582","67,593"
2016.2/4,용산구,"107,277","246,934","120,512","126,422"
2016.2/4,성동구,"127,341","305,525","151,449","154,076"
2016.2/4,광진구,"158,454","374,053","182,418","191,635"
2016.2/4,동대문구,"159,914","372,214","184,750","187,464"
2016.2/4,중랑구,"177,105","418,134","208,143","209,991"
2016.2/4,성북구,"190,406","467,142","227,567","239,575"
2016.2/4,강북구,"141,129","332,737","163,273","169,464"
2016.2/4,도봉구,"136,913","352,164","173,132","179,032"
2016.2/4,노원구,"220,804","576,782","280,787","295,995"
2016.2/4,은평구,"202,731","499,850","243,290","256,560"
2016.2/4,서대문구,"137,497","327,113","157,694","169,419"
2016.2/4,마포구,"170,792","395,687","189,332","206,355"
2016.2/4,양천구,"178,783","486,258","240,489","245,769"
2016.2/4,강서구,"241,192","598,190","292,094","306,096"
2016.2/4,구로구,"172,927","453,526","227,382","226,144"
2016.2/4,금천구,"103,995","254,662","130,461","124,201"
2016.2/4,영등포구,"167,863","414,901","208,870","206,031"
2016.2/4,동작구,"172,179","413,969","202,553","211,416"
2016.2/4,관악구,"251,736","529,254","266,960","262,294"
2016.2/4,서초구,"172,950","450,005","216,309","233,696"
2016.2/4,강남구,"235,660","576,413","276,311","300,102"
2016.2/4,송파구,"255,400","662,605","323,355","339,250"
2016.2/4,강동구,"178,529","455,444","226,686","228,758"
2016.3/4,합계,"4,191,411","10,236,408","5,025,843","5,210,565"
2016.3/4,종로구,"72,582","162,957","79,838","83,119"
2016.3/4,중구,"59,591","134,463","66,701","67,762"
2016.3/4,용산구,"107,026","246,317","120,244","126,073"
2016.3/4,성동구,"127,771","305,506","151,346","154,160"
2016.3/4,광진구,"158,554","373,680","182,184","191,496"
2016.3/4,동대문구,"159,429","371,253","184,089","187,164"
2016.3/4,중랑구,"177,232","416,887","207,523","209,364"
2016.3/4,성북구,"189,367","464,505","226,082","238,423"
2016.3/4,강북구,"141,275","332,116","162,917","169,199"
2016.3/4,도봉구,"136,829","351,253","172,546","178,707"
2016.3/4,노원구,"220,269","574,498","279,512","294,986"
2016.3/4,은평구,"202,404","498,514","242,447","256,067"
2016.3/4,서대문구,"136,994","326,359","156,959","169,400"
2016.3/4,마포구,"170,208","393,766","188,288","205,478"
2016.3/4,양천구,"178,742","485,505","239,986","245,519"
2016.3/4,강서구,"242,847","599,611","292,646","306,965"
2016.3/4,구로구,"172,473","451,754","226,492","225,262"
2016.3/4,금천구,"103,876","253,667","129,931","123,736"
2016.3/4,영등포구,"166,661","410,757","206,795","203,962"
2016.3/4,동작구,"172,672","414,261","202,623","211,638"
2016.3/4,관악구,"251,948","528,187","266,531","261,656"
2016.3/4,서초구,"173,572","450,906","216,647","234,259"
2016.3/4,강남구,"235,299","574,974","275,494","299,480"
2016.3/4,송파구,"255,825","662,413","323,007","339,406"
2016.3/4,강동구,"177,965","452,299","225,015","227,284"
2016.4/4,합계,"4,189,839","10,204,057","5,007,379","5,196,678"
2016.4/4,종로구,"72,118","161,922","79,322","82,600"
2016.4/4,중구,"59,651","134,409","66,452","67,957"
2016.4/4,용산구,"106,607","245,102","119,636","125,466"
2016.4/4,성동구,"128,727","307,161","152,006","155,155"
2016.4/4,광진구,"158,390","372,104","181,251","190,853"
2016.4/4,동대문구,"159,426","370,312","183,444","186,868"
2016.4/4,중랑구,"177,400","415,677","206,772","208,905"
2016.4/4,성북구,"188,304","461,617","224,504","237,113"
2016.4/4,강북구,"141,229","330,704","162,211","168,493"
2016.4/4,도봉구,"136,898","350,272","172,006","178,266"
2016.4/4,노원구,"219,736","571,212","277,866","293,346"
2016.4/4,은평구,"201,891","495,937","241,048","254,889"
2016.4/4,서대문구,"136,766","325,871","156,597","169,274"
2016.4/4,마포구,"169,432","390,887","186,668","204,219"
2016.4/4,양천구,"177,434","481,845","238,163","243,682"
2016.4/4,강서구,"245,045","602,104","293,734","308,370"
2016.4/4,구로구,"172,220","449,600","225,411","224,189"
2016.4/4,금천구,"104,483","254,654","130,429","124,225"
2016.4/4,영등포구,"165,729","406,779","204,712","202,067"
