text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:03:39,FALSE,NA,1186568790508617728,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,_dungdungi,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:03:04,FALSE,NA,1186568641174597632,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>,PAJUNE00,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:01:46,FALSE,NA,1186568314312486912,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,zonked_printer,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:01:39,FALSE,NA,1186568284465848320,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,smokkyroses,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:01:32,FALSE,NA,1186568258599604224,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,hbb_99,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:01:26,FALSE,NA,1186568233198841857,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,cho102938,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:01:22,FALSE,NA,1186568213942820869,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,kyuho_o,3875,TRUE,FALSE,NA,NA
RT @nepher0809: 돈덩어리나 페라리였으면 바로 가져갔을거면서 https://t.co/QqUlzv2uOW,FALSE,0,NA,2019-10-22 09:00:35,FALSE,NA,1186568018727276544,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,ShanaTTan,10,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 09:00:01,FALSE,NA,1186567875386961920,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,G_canola_U,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:59:32,FALSE,NA,1186567753437593601,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,xrix00,3875,TRUE,FALSE,NA,NA
RT @captain_161: 칠성검이 총이고 적토마가 페라리인 마당에 제가 감히 제갈량이 부채를 들고나올거라고 생각했습니다 https://t.co/F6gP9Jxvxd,FALSE,0,NA,2019-10-22 08:58:49,FALSE,NA,1186567571283140610,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,7_units_0_and,3875,TRUE,FALSE,NA,NA
RT @nepher0809: 돈덩어리나 페라리였으면 바로 가져갔을거면서 https://t.co/QqUlzv2uOW,FALSE,0,NA,2019-10-22 08:58:26,FALSE,NA,1186567476454330368,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,rune_425,10,TRUE,FALSE,NA,NA
